Timestamp	Accel X	Accel Y	Accel Z	Gyro X	Gyro Y	Gyro Z	Start Flag							
343	0.439453125	0.863037109	0.035888672	2.075195313	-3.234863043	4.333496094	11							
344	0.435302734	0.846557617	0.077026367	-4.821777344	19.77539063	-2.44140625	11							
345	0.482666016	0.848754883	0.000976563	-12.63427639	2.136230469	26.79443169	11							
346	0.484130859	0.890258789	-0.03918457	-32.83691406	7.995604992	59.38720322	11							
347	0.235229492	0.953369141	-0.061035156	-14.83154202	4.760742188	82.76366425	11							
348	0.078979492	0.973022461	-0.121582031	-20.44677544	13.48876858	92.71239471	11							
349	-0.244384766	0.980957031	-0.17578125	0.793456972	47.24120712	15.99120998	11							
350	0.110229492	0.978149414	-0.195922852	-0.732421815	14.83154202	15.6860342	11							
351	-0.000488281	0.92578125	-0.12109375	-3.051757574	-8.056640625	6.469726086	11							
352	-0.109619141	0.958862305	-0.108276367	-2.563476324	5.493163586	-2.502441406	11							
353	-0.095336914	0.977294922	-0.178100586	-4.211425781	-1.464843631	2.258300781	11							
354	-0.136230469	0.963256836	-0.1640625	-5.371093273	7.080077648	-1.953124881	12							
355	-0.10168457	0.966186523	-0.162719727	-2.319335938	-1.281738162	3.173827887	12							
356	-0.139038086	0.955688477	-0.161132813	-5.310058117	-1.6479491	2.258300781	12							
357	-0.146484375	0.959350586	-0.1796875	-2.990722418	2.62451148	-2.197265625	12							
358	-0.111694336	0.966552734	-0.181518555	-2.502441406	3.60107398	-1.525878787	12							
359	-0.149780273	0.958496094	-0.185668945	-2.502441406	0.793456972	-1.098632813	12							
360	-0.13659668	0.962402344	-0.189086914	-1.770019412	-0.97656244	-2.44140625	12							
361	-0.102294922	0.956054688	-0.182006836	-1.220703125	-1.525878787	-0.915527284	12							
362	-0.128051758	0.956420898	-0.187133789	-0.854492128	-0.48828122	-1.342773318	12							
363	-0.125610352	0.958496094	-0.184448242	-1.281738162	0.122070305	0.366210908	12							
364	-0.111572266	0.960327148	-0.207763672	6.835937023	-16.54052734	-25.02441216	12							
365	0.133178711	0.924438477	-0.098510742	13.54980373	-29.41894341	-134.2163086	12							
366	0.345825195	0.923950195	-0.092285156	17.51708984	-16.90673828	-78.79638672	12							
367	0.277099609	0.910766602	-0.135864258	31.55517387	-3.784179449	-29.05273247	12							
368	0.58605957	0.858764648	0.052001953	8.239746094	-10.19287014	-17.70019531	12							
369	0.529541016	0.815185547	0.008422852	17.08984375	25.69579887	-25.69579887	12							
370	0.4453125	0.858276367	0.007202148	0.305175781	-22.33886528	0.061035153	12							
371	0.489990234	0.828369141	0.038696289	0.48828122	11.10839748	-9.216308594	12							
372	0.55078125	0.841308594	0.011230469	-3.479003668	-3.234863043	4.333496094	12							
373	0.520141602	0.807495117	0.102783203	-20.32470512	8.056640625	9.704589844	12							
374	0.445068359	0.901733398	-0.073974609	-9.582519531	-0.122070305	44.43358994	12							
375	0.321777344	0.898681641	0.010375977	-17.39501953	14.03808498	82.8246994	12							
376	0.146606445	0.972412109	-0.139404297	-33.75244141	0	117.1264572	12							
377	-0.213623047	0.944091797	-0.190185547	1.220703125	62.01171494	56.7626915	12							
378	-0.185791016	0.924438477	-0.13269043	-3.845214605	6.347655773	11.10839748	12							
379	-0.127563477	0.980957031	-0.145629883	4.150390625	1.6479491	-4.699707031	12							
380	-0.180297852	0.95324707	-0.141235352	-2.62451148	-0.061035153	-3.60107398	12							
381	-0.141479492	0.960449219	-0.149047852	-2.62451148	12.14599514	-0.732421815	12							
382	-0.136108398	0.953857422	-0.153564453	-4.516601563	-2.746581793	3.173827887	12							
383	-0.167236328	0.959960938	-0.173339844	-2.197265625	2.44140625	-0.183105454	13							
384	-0.126586914	0.957275391	-0.164306641	-0.305175781	-1.220703125	0.366210908	13							
385	-0.151123047	0.960083008	-0.163330078	0.915527284	-0.183105454	-2.44140625	13							
386	-0.159545898	0.957885742	-0.16015625	0.915527284	0.183105454	-2.075195313	13							
387	-0.153930664	0.954956055	-0.162353516	-0.427246064	-0.610351563	-0.793456972	13							
388	-0.127441406	0.962280273	-0.164428711	0.671386659	-1.403808475	-2.136230469	13							
389	-0.1484375	0.956298828	-0.155273438	-2.075195313	1.281738162	0.610351563	13							
390	-0.148071289	0.963623047	-0.165405273	-0.24414061	-1.525878787	-2.62451148	13							
391	-0.141967773	0.959960938	-0.168334961	-0.854492128	-0.671386659	-0.793456972	13							
392	-0.128662109	0.957641602	-0.158691406	-1.586913943	0.061035153	-1.892089725	13							
393	-0.135620117	0.958129883	-0.170776367	-0.915527284	-6.774901867	-6.591796398	13							
394	-0.114501953	0.960205078	-0.149047852	5.310058117	-48.9501915	-62.37792587	13							
395	0.238037109	0.919067383	-0.18737793	-0.427246064	-42.41942978	-112.6708908	13							
396	0.557495117	0.884887695	-0.163818359	46.020504	-20.14159966	-73.73046875	13							
397	0.561157227	0.774536133	0.100952148	39.12353516	11.2304678	-49.07226181	13							
398	0.27722168	0.85949707	-0.047485352	17.88330078	2.136230469	-23.74267387	13							
399	0.655029297	0.824584961	0.056640625	12.39013577	-22.33886528	-3.356933355	13							
400	0.38659668	0.825561523	0.043823242	14.03808498	17.27294922	-5.676269054	13							
401	0.638305664	0.78527832	0.092773438	-4.272460938	-16.96777344	2.258300781	13							
402	0.625976563	0.747802734	0.084472656	1.098632813	20.81298637	-1.708984256	13							
403	0.498046875	0.835693359	0.061157227	-8.483886719	1.220703125	21.30126762	13							
404	0.488891602	0.850708008	0.060058594	-31.49413872	-0.48828122	40.52733994	13							
405	0.270751953	0.916503906	-0.041137695	-38.63525391	-14.83154202	77.88085938	13							
406	0.119140625	0.9609375	-0.216430664	-27.83202934	30.09033012	103.1494064	13							
